,id,name,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,beds,price,number_of_reviews,review_scores_rating,geometry,restaurant,nightclub,suppermarket,park,trainstation,busstop,bicycle_rental,city_center,Wijkcode,Wijk,culture_to,public_gre,Safety_ind
68,42706465,Fresh Jordaan studio on Prinsengracht,Centrum-West,52.37265,4.88417,Private room in guest suite,2,1.0,110.0,0,,POINT (120743.33034833116 487315.97344641376),38.38127125830709,464.8524092476621,137.98784028139286,655.7303888786596,1147.5183415262754,149.55002143657686,222.44096844633705,572.085873954887,AC,Grachtengordel-West,19.0,0.0,86.0
69,45747871,Garden view city centre penthouse suite,Centrum-West,52.37115,4.88488,Private room in bed and breakfast,2,1.0,160.0,50,4.88,POINT (120790.52404029985 487148.7435979135),89.35415259495161,426.1637981225849,83.09712589238221,819.524487992357,1089.7272707543416,318.2316179153584,285.1587653596136,569.7033216529794,AC,Grachtengordel-West,19.0,0.0,86.0
70,48004711,Residences | 3-Bedrooms | Serviced Apartment,Centrum-West,52.36893,4.88469,Entire serviced apartment,6,5.0,369.0,14,4.64,POINT (120775.87203926801 486901.8295740804),84.77218058449736,390.11508888285465,167.86718042047437,663.216478757344,1017.3595860940115,431.341859448186,375.6097870599052,717.1171559797382,AC,Grachtengordel-West,19.0,0.0,86.0
71,48004925,Residences | 3-Bedrooms | Serviced Apartment,Centrum-West,52.37118,4.88286,Entire serviced apartment,4,4.0,385.0,10,4.1,POINT (120652.98205191948 487153.03691333515),20.020118086992213,559.7830855869049,158.94994518823364,728.0975479590378,1227.2310625156135,327.9908896973423,379.32810446998974,696.4062719318839,AC,Grachtengordel-West,19.0,0.0,86.0
72,49867500,Beautiful Van Gogh studio @BEST location centre,Centrum-West,52.371,4.88703,Private room in serviced apartment,2,1.0,131.0,64,4.66,POINT (120936.82730064218 487131.04144988547),108.15013497411802,293.3783935719337,145.9607487941045,917.9720061963322,943.8094163748802,380.0759710348944,138.18623266232507,449.2262839863619,AC,Grachtengordel-West,19.0,0.0,86.0
73,50243968,60m2 loft on Prinsengracht with garden,Centrum-West,52.37056,4.88335,Entire loft,2,1.0,121.0,1,5.0,POINT (120685.8722084592 487083.8217708063),11.179819533131743,544.7708013657619,120.94777042815348,699.0564983634969,1196.7458090390992,387.5048523980118,391.7400162462206,691.8463216161778,AC,Grachtengordel-West,19.0,0.0,86.0
74,50409281,"Lovely luxurious 42m2 studio in ""9 Streets""",Centrum-West,52.37129,4.88595,Entire loft,2,1.0,252.0,9,5.0,POINT (120863.50049006309 487163.81587610673),101.92311438161634,351.7286003535551,112.75359004765784,848.8800076836361,1016.700412319722,320.0196097084686,214.34452384328603,497.0800275964573,AC,Grachtengordel-West,19.0,0.0,86.0
75,51185001,Beautiful appartment in the city center,Centrum-West,52.3727,4.88769,Entire condo,2,1.0,260.0,6,5.0,POINT (120983.07822369409 487319.8785506976),83.35969219772996,230.7899047240164,174.76348968320133,807.8293345284419,911.257397873596,269.99296592235635,211.8589073626408,334.07493144663744,AC,Grachtengordel-West,19.0,0.0,86.0
76,52050592,Stylish Amsterdam Pad - whole apt to yourself!,Centrum-West,52.36954,4.88697,Private room in condo,4,2.0,414.0,5,5.0,POINT (120931.61993213759 486968.6257274162),19.179568851725683,276.0371647225012,159.85276240925154,823.4613569327784,967.6779623749126,348.5873187033593,215.1211190732614,558.8834927726691,AC,Grachtengordel-West,19.0,0.0,86.0
77,53122590,Cannel City-Center Apartment + remote work hotspot,Centrum-West,52.37293,4.88354,Entire rental unit,4,2.0,400.0,8,4.63,POINT (120700.64431080902 487347.4250660967),53.75055867384864,512.0554658097984,109.06462070627552,606.5320802273474,1194.353296001723,128.2994009595125,184.07151959960373,612.1580498474676,AC,Grachtengordel-West,19.0,0.0,86.0
